ADDRESSCOUNTRYCODE,ADDRESSSTATECODE,CITY,LASTUPDATEDDATE,POSTALCODE,RECAREAADDRESSID,RECAREAADDRESSTYPE,RECAREAID,RECAREASTREETADDRESS1,RECAREASTREETADDRESS2,RECAREASTREETADDRESS3
"","KY","","2013-04-02","","10290","","13621","","",""
"","OH","","2013-04-02","","10291","","13622","","",""
"","OR","","2013-04-02","","10292","","13623","","",""
"","LA","","2013-04-02","","10293","","13624","","",""
"","AR","","2013-04-02","","10294","","13625","","",""
"","MO","","2013-04-02","","10295","","13625","","",""
"","AR","","2013-04-02","","10296","","13626","","",""
"","MO","","2013-04-02","","10297","","13627","","",""
"","CA","","2013-04-02","","10298","","13628","","",""
"","NJ","","2013-04-02","","10299","","13629","","",""
"","OR","","2013-04-02","","10300","","13630","","",""
"","CO","","2013-04-02","","10301","","13631","","",""
"","UT","","2013-04-02","","10302","","13631","","",""
"","CO","","2013-04-02","","10303","","13632","","",""
"","UT","","2013-04-02","","10304","","13633","","",""
"","TN","","2013-04-02","","10305","","13634","","",""
"","CA","","2013-04-02","","10306","","13635","","",""
"","UT","","2013-04-02","","10307","","13636","","",""
"","MN","","2013-04-02","","10308","","13637","","",""
"","SC","","2013-04-02","","10309","","13638","","",""
"","NM","","2013-04-02","","10310","","13639","","",""
"","OR","","2013-04-02","","10311","","13640","","",""
"","CA","","2013-04-02","","10312","","13641","","",""
"","OR","","2013-04-02","","10313","","13641","","",""
"","NM","","2013-04-02","","10314","","13642","","",""
"","UT","","2013-04-02","","10315","","13643","","",""
"","CA","","2013-04-02","","10316","","13644","","",""
"","UT","","2013-04-02","","10317","","13645","","",""
"","UT","","2013-04-02","","10318","","13646","","",""
"","CO","","2013-04-02","","10319","","13647","","",""
"","KS","","2013-04-02","","10320","","13648","","",""
"","FL","","2013-04-02","","10321","","13649","","",""
"","FL","","2013-04-02","","10322","","13650","","",""
"","NC","","2013-04-02","","10323","","13651","","",""
"","NC","","2013-04-02","","10324","","13652","","",""
"","NV","","2013-04-02","","10325","","13653","","",""
"","AZ","","2013-04-02","","10326","","13654","","",""
"","CO","","2013-04-02","","10327","","13655","","",""
"","OR","","2013-04-02","","10328","","13656","","",""
"","MT","","2013-04-02","","10329","","13657","","",""
"","AK","","2013-04-02","","10330","","13658","","",""
"","NM","","2013-04-02","","10332","","13659","","",""
"","MO","","2013-04-02","","10333","","13660","","",""
"","AK","","2013-04-02","","10334","","13661","","",""
"","CO","","2013-04-02","","10335","","13662","","",""
"","NV","","2013-04-02","","10336","","13663","","",""
"","CO","","2013-04-02","","10337","","13664","","",""
"","MN","","2013-04-02","","10338","","13665","","",""
"","OR","","2013-04-02","","10339","","1176","","",""
"","WI","","2013-04-02","","10340","","13666","","",""
"","NY","","2013-04-02","","10341","","13667","","",""
"","PA","","2013-04-02","","10342","","13667","","",""
"","NY","","2013-04-02","","10343","","13668","","",""
"","PA","","2013-04-02","","10344","","13669","","",""
"","AR","","2013-04-02","","10345","","13670","","",""
"","IL","","2013-04-02","","10346","","13670","","",""
"","IA","","2013-04-02","","10347","","13670","","",""
"","KY","","2013-04-02","","10348","","13670","","",""
"","LA","","2013-04-02","","10349","","13670","","",""
"","MN","","2013-04-02","","10350","","13670","","",""
"","MS","","2013-04-02","","10351","","13670","","",""
"","MO","","2013-04-02","","10352","","13670","","",""
"","TN","","2013-04-02","","10353","","13670","","",""
"","WI","","2013-04-02","","10354","","13670","","",""
"","AR","","2013-04-02","","10355","","13671","","",""
"","IL","","2013-04-02","","10356","","13672","","",""
"","IA","","2013-04-02","","10357","","13673","","",""
"","KY","","2013-04-02","","10358","","13674","","",""
"","LA","","2013-04-02","","10359","","13675","","",""
"","MN","","2013-04-02","","10360","","13676","","",""
"","MS","","2013-04-02","","10361","","13677","","",""
"","TN","","2013-04-02","","10362","","13678","","",""
"","WI","","2013-04-02","","10363","","13679","","",""
"","NM","","2013-04-02","","10364","","1806","","",""
"","CO","","2013-04-02","","10365","","13680","","",""
"","MN","","2013-04-02","","10366","","13681","","",""
"","AK","","2013-04-02","","10367","","13682","","",""
"","AZ","","2013-04-02","","10368","","13683","","",""
"","MD","","2013-04-02","","10369","","13684","","",""
"","OR","","2013-04-02","","10370","","13685","","",""
"","WI","","2013-04-02","","10371","","13686","","",""
"","WV","","2013-04-02","","10372","","13687","","",""
"","VA","","2013-04-02","","10373","","13688","","",""
"","CO","","2013-04-02","","10374","","13689","","",""
"","MN","","2013-04-02","","10375","","13690","","",""
"","OR","","2013-04-02","","10376","","13691","","",""
"","IL","","2013-04-02","","10377","","13692","","",""
"","IN","","2013-04-02","","10378","","13692","","",""
"","MD","","2013-04-02","","10379","","13692","","",""
"","OH","","2013-04-02","","10380","","13692","","",""
"","PA","","2013-04-02","","10381","","13692","","",""
"","WV","","2013-04-02","","10382","","13692","","",""
"","IL","","2013-04-02","","10383","","13693","","",""
"","IN","","2013-04-02","","10384","","13694","","",""
"","MD","","2013-04-02","","10385","","13695","","",""
"","OH","","2013-04-02","","10386","","13696","","",""
"","PA","","2013-04-02","","10387","","13697","","",""
"","WV","","2013-04-02","","10388","","13698","","",""
"","AZ","","2013-04-02","","10389","","13699","","",""
"","IL","","2013-04-02","","10390","","13699","","",""
"","NM","","2013-04-02","","10391","","13699","","",""
"","OK","","2013-04-02","","10392","","13699","","",""
"","AZ","","2013-04-02","","10393","","13700","","",""
"","IL","","2013-04-02","","10394","","13701","","",""
"","NM","","2013-04-02","","10395","","13702","","",""
"","OK","","2013-04-02","","10396","","13703","","",""
"","UT","","2013-04-02","","10397","","13704","","",""
"","IL","","2013-04-02","","10398","","13705","","",""
"","IN","","2013-04-02","","10399","","13706","","",""
"","FL","","2013-04-02","","10400","","13707","","",""
"","ID","","2013-04-02","","10401","","13708","","",""
"","WA","","2013-04-02","","10402","","13708","","",""
"","ID","","2013-04-02","","10403","","13709","","",""
"","WA","","2013-04-02","","10404","","13710","","",""
"","CA","","2013-04-02","","10405","","13711","","",""
"","MD","","2013-04-02","","10407","","13713","","",""
"","PA","","2013-04-02","","10408","","13713","","",""
"","VA","","2013-04-02","","10409","","13713","","",""
"","MD","","2013-04-02","","10410","","13714","","",""
"","PA","","2013-04-02","","10411","","13715","","",""
"","VA","","2013-04-02","","10412","","13716","","",""
"","AZ","","2013-04-02","","10413","","13717","","",""
"","NH","","2013-04-02","","10414","","13718","","",""
"","CA","","2013-04-02","","10415","","13719","","",""
"","MT","","2013-04-02","","10416","","13720","","",""
"","MN","","2013-04-02","","10417","","13721","","",""
"","OH","","2013-04-02","","10418","","13722","","",""
"","MT","","2013-04-02","","10419","","13723","","",""
"","NY","","2013-04-02","","10420","","13724","","",""
"","NV","","2013-04-02","","10421","","13725","","",""
"","NM","","2013-04-02","","10422","","13726","","",""
"","OR","","2013-04-02","","10423","","13727","","",""
"","NV","","2013-04-02","","10424","","13728","","",""
"","CO","","2013-04-02","","10425","","13729","","",""
"","CA","","2013-04-02","","10426","","13730","","",""
"","NV","","2013-04-02","","10427","","13731","","",""
"","CA","","2013-04-02","","10428","","13732","","",""
"","ID","","2013-04-02","","10429","","13733","","",""
"","KY","","2013-04-02","","10430","","13734","","",""
"","IL","","2013-04-02","","10431","","13735","","",""
"","UT","","2013-04-02","","10432","","13736","","",""
"","MO","","2013-04-02","","10433","","13737","","",""
"","IA","","2013-04-02","","10434","","13738","","",""
"","UT","","2013-04-02","","10435","","13739","","",""
"","PA","","2013-04-02","","10436","","13740","","",""
"","LA","","2013-04-02","","10437","","13741","","",""
"","CO","","2013-04-02","","10438","","13742","","",""
"","NV","","2013-04-02","","10439","","13743","","",""
"","OR","","2013-04-02","","10440","","13744","","",""
"","OR","","2013-04-02","","10441","","13745","","",""
"","MS","","2013-04-02","","10442","","13746","","",""
"","NV","","2013-04-02","","10443","","13747","","",""
"","UT","","2013-04-02","","10444","","13748","","",""
"","OR","","2013-04-02","","10445","","13749","","",""
"","WY","","2013-04-02","","10446","","13750","","",""
"","IL","","2013-04-02","","10447","","13751","","",""
"","CT","","2013-04-02","","10448","","13752","","",""
"","ID","","2013-04-02","","10449","","13753","","",""
"","WV","","2013-04-02","","10450","","13754","","",""
"","NJ","","2013-04-02","","10451","","13755","","",""
"","MN","","2013-04-02","","10452","","13756","","",""
"","UT","","2013-04-02","","10453","","13757","","",""
"","MT","","2013-04-02","","10454","","13758","","",""
"","CA","","2013-04-02","","10455","","13759","","",""
"","NY","","2013-04-02","","10456","","13760","","",""
"","WA","","2013-04-02","","10457","","13761","","",""
"","WA","","2013-04-02","","10458","","13762","","",""
"","NC","","2013-04-02","","10459","","13763","","",""
"","WA","","2013-04-02","","10460","","13764","","",""
"","CO","","2013-04-02","","10461","","13765","","",""
"","AR","","2013-04-02","","10462","","13766","","",""
"","VA","","2013-04-02","","10463","","13767","","",""
"","OR","","2013-04-02","","10464","","13768","","",""
"","NV","","2013-04-02","","10465","","13769","","",""
"","AL","","2013-04-02","","10469","","13770","","",""
"","MS","","2013-04-02","","10470","","13771","","",""
"","TN","","2013-04-02","","10471","","13772","","",""
"","ND","","2013-04-02","","10472","","13773","","",""
"","SD","","2013-04-02","","10473","","13773","","",""
"","ND","","2013-04-02","","10474","","13774","","",""
"","SD","","2013-04-02","","10475","","13775","","",""
"","UT","","2013-04-02","","10476","","13776","","",""
"","OR","","2013-04-02","","10477","","13777","","",""
"","UT","","2013-04-02","","10478","","13778","","",""
"","WA","","2013-04-02","","10479","","13779","","",""
"","MN","","2013-04-02","","10480","","13780","","",""
"","ID","","2013-04-02","","10481","","13781","","",""
"","TN","","2013-04-02","","10482","","13782","","",""
"","UT","","2013-04-02","","10483","","13783","","",""
"","OH","","2013-04-02","","10484","","13784","","",""
"","IL","","2013-04-02","","10485","","13785","","",""
"","IN","","2013-04-02","","10486","","13785","","",""
"","OH","","2013-04-02","","10487","","13785","","",""
"","IL","","2013-04-02","","10488","","13786","","",""
"","IN","","2013-04-02","","10489","","13787","","",""
"","OH","","2013-04-02","","10490","","13788","","",""
"","ME","","2013-04-02","","10491","","13789","","",""
"","AZ","","2013-04-02","","10492","","13790","","",""
"","FL","","2013-04-02","","10493","","13791","","",""
"","SC","","2013-04-02","","10494","","13792","","",""
"","OR","","2013-04-02","","10495","","13793","","",""
"","NC","","2013-04-02","","10496","","13794","","",""
"","ID","","2013-04-02","","10497","","13795","","",""
"","AR","","2013-04-02","","10498","","13796","","",""
"","OR","","2013-04-02","","10499","","13797","","",""
"","WA","","2013-04-02","","10500","","13798","","",""
"","CA","","2013-04-02","","10501","","13799","","",""
"","CA","","2013-04-02","","10502","","13800","","",""
"","MN","","2013-04-02","","10503","","13801","","",""
"","ID","","2013-04-02","","10504","","13802","","",""
"","CO","","2013-04-02","","10505","","13803","","",""
"","ID","","2013-04-02","","10506","","13804","","",""
"","SD","","2013-04-02","","10507","","13805","","",""
"","AR","","2013-04-02","","10508","","13806","","",""
"","ID","","2013-04-02","","10509","","13807","","",""
"","MT","","2013-04-02","","10510","","13808","","",""
"","UT","","2013-04-02","","10511","","13809","","",""
"","NV","","2013-04-02","","10512","","13810","","",""
"","OR","","2013-04-02","","10513","","13811","","",""
"","NM","","2013-04-02","","10514","","13812","","",""
"","ME","","2013-04-02","","10515","","13813","","",""
"","WY","","2013-04-02","","10516","","13814","","",""
"","KY","","2013-04-02","","10517","","13815","","",""
"","NV","","2013-04-02","","10518","","13816","","",""
"","AZ","","2013-04-02","","10519","","13817","","",""
"","MD","","2013-04-02","","10520","","13818","","",""
"","CA","","2013-04-02","","10522","","13820","","",""
"","MI","","2013-04-02","","10523","","13821","","",""
"","OR","","2013-04-02","","10524","","13822","","",""
"","OR","","2013-04-02","","10525","","13823","","",""
"","CA","","2013-04-02","","10526","","13824","","",""
"","CA","","2013-04-02","","10527","","13825","","",""
"","GA","","2013-04-02","","10528","","13826","","",""
"","CA","","2013-04-02","","10529","","13827","","",""
"","NM","","2013-04-02","","10530","","13828","","",""
"","CO","","2013-04-02","","10531","","13829","","",""
"","NM","","2013-04-02","","10532","","13830","","",""
"","CO","","2013-04-02","","10533","","13831","","",""
"","NM","","2013-04-02","","10534","","13831","","",""
"","NM","","2013-04-02","","10535","","13832","","",""
"","CO","","2013-04-02","","10536","","13833","","",""
"","SC","","2013-04-02","","10537","","13834","","",""
"","ID","","2013-04-02","","10538","","13835","","",""
"","UT","","2013-04-02","","10539","","13836","","",""
"","UT","","2013-04-02","","10540","","13837","","",""
"","ME","","2013-04-02","","10541","","13838","","",""
"","AL","","2013-04-02","","10542","","13839","","",""
"","WY","","2013-04-02","","10543","","13840","","",""
"","AK","","2013-04-02","","10544","","13841","","",""
"","WA","","2013-04-02","","10545","","13842","","",""
"","ND","","2013-04-02","","10546","","13843","","",""
"","CA","","2013-04-02","","10547","","13844","","",""
"","CA","","2013-04-02","","10548","","13845","","",""
"","UT","","2013-04-02","","10549","","13846","","",""
"","CO","","2013-04-02","","10550","","13847","","",""
"","AZ","","2013-04-02","","10551","","13848","","",""
"","VA","","2013-04-02","","10552","","13849","","",""
"","CA","","2013-04-02","","10553","","13850","","",""
"","UT","","2013-04-02","","10554","","13851","","",""
"","OR","","2013-04-02","","10555","","13852","","",""
"","WY","","2013-04-02","","10556","","13853","","",""
"","WY","","2013-04-02","","10557","","13854","","",""
"","OR","","2013-04-02","","10558","","13855","","",""
"","OR","","2013-04-02","","10559","","13856","","",""
"","SD","","2013-04-02","","10560","","13857","","",""
"","WA","","2013-04-02","","10561","","13858","","",""
"","CA","","2013-04-02","","10562","","13859","","",""
"","OR","","2013-04-02","","10563","","13859","","",""
"","WV","","2013-04-02","","10564","","13860","","",""
"","OR","","2013-04-02","","10565","","13861","","",""
"","WA","","2013-04-02","","10566","","13862","","",""
"","AR","","2013-04-02","","10567","","13863","","",""
"","WA","","2013-04-02","","10568","","13864","","",""
"","MT","","2013-04-02","","10569","","13865","","",""
"","MO","","2013-04-02","","10570","","13866","","",""
"","CA","","2013-04-02","","10571","","13867","","",""
"","NM","","2013-04-02","","10572","","13868","","",""
"","AR","","2013-04-02","","10573","","13869","","",""
"","AR","","2013-04-02","","10574","","13870","","",""
"","OK","","2013-04-02","","10575","","13870","","",""
"","AR","","2013-04-02","","10576","","13871","","",""
"","OK","","2013-04-02","","10577","","13872","","",""
"","AL","","2013-04-02","","10578","","13873","","",""
"","ID","","2013-04-02","","10579","","13874","","",""
"","CA","","2013-04-02","","10580","","13875","","",""
"","CO","","2013-04-02","","10581","","13876","","",""
"","CO","","2013-04-02","","10582","","13877","","",""
"","UT","","2013-04-02","","10583","","13877","","",""
"","CO","","2013-04-02","","10584","","13878","","",""
"","UT","","2013-04-02","","10585","","13879","","",""
"","NM","","2013-04-02","","10586","","13880","","",""
"","CO","","2013-04-02","","10587","","13881","","",""
"","UT","","2013-04-02","","10588","","13882","","",""
"","CA","","2013-04-02","","10589","","13883","","",""
"","CA","","2013-04-02","","10590","","13884","","",""
"","NM","","2013-04-02","","10591","","13885","","",""
"","CA","","2013-04-02","","10592","","13886","","",""
"","OR","","2013-04-02","","10593","","13886","","",""
"","CA","","2013-04-02","","10594","","13887","","",""
"","OR","","2013-04-02","","10595","","13888","","",""
"","WV","","2013-04-02","","10596","","13889","","",""
"","OR","","2013-04-02","","10597","","13890","","",""
"","CO","","2013-04-02","","10598","","13891","","",""
"","ID","","2013-04-02","","10599","","13892","","",""
"","KS","","2013-04-02","","10600","","13893","","",""
"","MI","","2013-04-02","","10601","","13894","","",""
"","AZ","","2013-04-02","","10602","","13895","","",""
"","NH","","2013-04-02","","10603","","13896","","",""
"","WA","","2013-04-02","","10604","","13897","","",""
"","OK","","2013-04-02","","10605","","13898","","",""
"","KY","","2013-04-02","","10606","","13554","","",""
"","NM","","2013-04-02","","10607","","13899","","",""
"","KY","","2013-04-02","","10608","","13900","","",""
"","TN","","2013-04-02","","10609","","13900","","",""
"","MI","","2013-04-02","","10610","","13901","","",""
"","WY","","2013-04-02","","10611","","13902","","",""
"","CA","","2013-04-02","","10612","","13903","","",""
"","KY","","2013-04-02","","10613","","13904","","",""
"USA","AK","Fairbanks","2018-07-05","99709","19415","","589","Bureau of Land Management","Eastern Interior Field Office","222 University Avenue"
"USA","AK","Fairbanks","","99709","19416","","981","Bureau of Land Management ","Fairbanks District Office","1150 University Avenue"
"USA","MI","Saginaw","","48601","31020","","1614","6975 Mower Road","",""
"USA","CA","Point Reyes Station","","94956","37856","","2997","Cordell Bank National Marine Sanctuary","1 Bear Valley Rd",""
"USA","FL","Eastpoint","","32328","38373","","3078","Apalachicola National Estuarine Research Reserve","108 Island Drive",""
"USA","MD"," Annapolis","","21401","38375","","3080","Chesapeake Bay National Estuarine Research Reserve-Maryland"," Tawes State Office Building E-2"," 580 Taylor Avenue"
"USA","VA","Gloucester Point","","23062","38376","","3081","Chesapeake Bay (VA) National Estuarine Research Reserve","Virginia Institute of Marine Science","P.O. Box 1346"
"USA","DE"," Dover","","19901","38378","","3082","Delaware National Estuarine Research Reserve"," 818 Kitts Hummock Road",""
"USA","CA","Watsonville","","95076","38379","","3083","Elkhorn Slough National Estuarine Research Reserve","1700 Elkhorn Road",""
"USA","FL","Key West","","33040","38382","","3075","Florida Keys National Marine Sanctuary","35 East Quay Road",""
"USA","MS"," Moss Point","","39562","38384","","3085","Grand Bay Reserve"," Mississippi Department of Marine Resources"," 6005 Bayou Heron Road"
"USA","GA","Savannah","","31411","38385","","3070","Gray's Reef National Marine Sanctuary","10 Ocean Science Circle",""
"USA","NH","Greenland","","03840","38386","","3086","Great Bay National Estuarine Research Reserve","Great Bay Discovery Center","89 Depot Road"
"USA","FL","St. Augustine","","32080","38387","","3084","Guana Tolomato Matanzas (GTM) National Estuarine Research Reserve","Florida Department of Environmental Protection"," 9741 Ocean Shore Blvd"
"USA","NY","Staatsburg","","12580","38388","","3087","Norrie Point Environmental Center","Mills-Norrie State Park ","256 Norrie Point Way"
"USA","HI","Kihei","","96753","38389","","3104","Hawaiian Islands Humpback Whale National Marine Sanctuary","726 South Kihei Road",""
"USA","NJ","Tuckerton","","08087","38394","","3088","Jacques Cousteau National Estuarine Research Reserve","130 Great Bay Blvd.",""
"USA","NJ","Tuckerton","","08087","38395","","3088","Life on the Edge Interpretive Center (Gateway to the Reserve) ","120 W. Main St.  ",""
"USA","PR","Aguirre","","00704","38397","","3089","Jobos Bay National Estuarine Research Reserve","Department of Natural and Environmental Resources","Call Box B"
"USA","AK","Homer","","99603","38398","","3090","Kachemak Bay National Estuarine Research Reserve","95 Sterling Highway, Suite 2",""
"USA","TX","Port Aransas","","78373","38400","","2536","Marine Science Institute","750 Channel View Drive",""
"USA","VA","Newport News","","23606","38402","","3076","Monitor National Marine Sanctuary","100 Museum Drive",""
"USA","RI"," Prudence Island","","02872","38406","","3091","Narragansett Bay National Estuarine Research Reserve"," 55 South Reserve Drive",""
"USA","AS","Pago Pago","","96799","38407","","2998","National Marine Sanctuary of American Samoa","P.O. Box 4318",""
"USA","SC"," Georgetown","","29442","38408","","3095","North Inlet -Winyah Bay Reserve"," University of South Carolina, Baruch Marine Field Laboratory ","P.O. Box 1630"
"USA","NC","Beaufort","","28516","38410","","3093","North Carolina National Estuarine Research Reserve","101 Pivers Island Road  ",""
"USA","OH"," Huron","","44839","38411","","3096","Old Woman Creek National Estuarine Research Reserve","ODNR Division of Wildlife","2514 Cleveland Road East"
"USA","WA"," Mount Vernon","","98273 ","38414","","3097","Padilla Bay National Estuarine Research Reserve"," Washington State Department of Ecology"," 10441 Bayview-Edison Road "
"USA","HI","Hilo","","96720","38415","","3105","Papahanaumokuakea Marine National Monument","308 Kamehameha Ave, #203",""
"USA","GA","Sapelo Island","","31327","38417","","3099","Sapelo Island National Estuarine Research Reserve","P.O. Box 15",""
"USA","CA","Tiburon","","94920-1205","38418","","2516","San Francisco Bay Reserve SFSU-Romberg Tiburon Center","3152 Paradise Drive",""
"USA","OR"," Charleston","","97420","38419","","3100","South Slough Reserve"," Division of State Lands"," P.O. Box 5471"
"USA","MA","Scituate","","02066","38420","","3073","Stellwagen Bank National Marine Sanctuary","175 Edward Foster Road",""
"USA","CA"," Imperial Beach","","91932","38422","","3101","Tijuana River National Estuarine Research Reserve"," California Department of Parks and Recreation"," 301 Caspian Way"
"USA","MA"," Waquoit","","02536","38423","","3102","Waquoit Bay National Estuarine Research Reserve","P.O. Box 3092",""
"USA","AL","Fairhope","","36532","38424","","2040","Weeks Bay National Estuarine Research Reserve","2610 S11300 U.S. Highway 98",""
"USA","CA","Santa Barbara","","93106-6155","39139","","2996","Channel Islands National Marine Sanctuary","University of California Santa Barbara","Ocean Science Education Building 514"
"USA","UT","Fillmore","","84631","43579","","2215","Fillmore Field Office","95 East 500 North",""
"USA","CA"," Bishop ",""," 93514","43580","","13069"," Bishop Field Office","351 Pacu Lane, Suite 100",""
"USA","CA","Bishop","2018-02-13","93514","43581","","607","Bureau of Land Management","Bishop Field Office","351 Pacu Lane, Suite 100"
"USA","CA","Ukiah","2017-06-21","95482","43585","","1268","Bureau of Land Management","Ukiah Field Office","  2550 North State Street"
"USA","CA"," Ukiah","2017-06-21"," 95482","43586","","13358","Bureau of Land Management","Ukiah Field Office","2550 North State Street"
"USA","CA"," El Centro","2017-06-22"," 92243","43589","","13362","Bureau of Land Management"," El Centro Field Office","1661 S. 4th Street"
"USA","CA"," Ukiah","2017-06-21"," 95482","43590","","13365"," Bureau of Land Management","Ukiah Field Office","2550 North State Street"
"USA","CA","Ukiah","2017-06-21","95482","43593","","1235","Bureau of Land Managment"," Ukiah Field Office"," 2550 North State Street"
"USA","CA","El Centro ",""," 92243","43594","","13376"," El Centro Field Office ","1661 S. 4th Street",""
"USA","CA"," El Centro ",""," 92243","43596","","13389","El Centro Field Office","1661 S. 4th Street",""
"USA","CA","Bishop","2017-06-22","93514","43597","","1136","Bureau of Land Management","Bishop Field Office"," 351 Pacu Lane,Suite 100"
"USA","CA","Alturas","2017-06-20","96101","43600","","1684","Bureau of Land Management"," Applegate Field Office","708 W. 12th St."
"USA","CA"," El Centro",""," 92243","43601","","13409"," El Centro Field Office","1661 S. 4th Street",""
"USA","CA"," El Centro",""," 92243","43602","","13410"," El Centro Field Office","1661 S. 4th Street",""
"USA","CA"," El Centro ","","92243","43604","","13421","El Centro Field Office ","1661 S. 4th Street",""
"USA","CA"," Needles","2017-06-20"," 92363","43607","","13447","Bureau of Land Management","Needles Field Office","1303 South U.S. Highway 95"
"USA","CA"," El Centro",""," 92243","43609","","13457"," El Centro Field Office","1661 S. 4th Street",""
"USA","CA"," El Centro",""," 92243","43611","","13460"," El Centro Field Office","1661 S. 4th Street",""
"USA","CA"," El Centro ",""," 92243","43614","","13476"," El Centro Field Office","1661 S. 4th Street",""
"USA","CA","Needles","2017-06-20","92363","43615","","13492","Bureau of Land Management","Needles Field Office","1303 South U.S. Hwy 95"
"USA","CA","Ridgecrest","2017-06-07","93555","43618","","13323","Bureau of Land Management","Ridgecrest Field Office","300 S. Richmond Rd."
"USA","CO","Grand Junction","","81506","43621","","627","Grand Junction Field Office"," 2815 H Road"," "
"USA","CO","Silt","2017-09-28","81652","43624","","1709","Colorado River Valley Field Office "," 2300 River Frontage Road"," "
"USA","CO","Cañon City","2017-11-01","81212","43625","","1715","Royal Gorge Field Office"," 3028 E. Main Street"," "
"USA","CO"," Gunnison","2017-10-04","81230","43626","","13197"," Gunnison Field Office","210 West Spencer Avenue",""
"USA","ID","Twin Falls","","83301","43628","","2077","Jarbidge Field Office","2536 Kimberly Road",""
"USA","ID","Boise","","83705","43629","","2080","Morley Nelson Snake River Birds of Prey National Conservation Area      ","3948 Development Avenue",""
"USA","ID","Pocatello","2018-02-20","83204","43630","","2072","Pocatello Field Office","4530 Cliffs Drive",""
"USA","ID","Shoshone","","83352","43636","","2066","Shoshone Field Office","400 West ",""
"USA","ID","Pocatello","2018-02-20","83204","43637","","2079","Pocatello Field Office","4350 Cliffs Dr",""
"USA","ID","Shoshone","2018-02-22","83352","43640","","2065","Shoshone Field Office","400 West F Street",""
"USA","ID","Marsing","","83639","43643","","1738","Owyhee Field Office","20 First Avenue West",""
"USA","ID","Boise","","83705","43644","","2001","Four Rivers Field Office","3948 Development Ave",""
"USA","ID","Burley","","83318","43646","","1731","Burley Field Office","15 East 200 South",""
"USA","ID","Shoshone","2017-05-11","83352","43648","","2068","400 West F Street","",""
"USA","MT","Dillion","","59725","43649","","624","1005 Selway Drive"," "," "
"USA","MT","Missoula","","59801","43650","","1788","3255 Fort Missoula Road"," "," "
"USA","MT"," Dillon",""," 59725","43651","","13101"," Dillon Field Office ","1005 Selway Drive",""
"USA","MT","Malta","","59538","43652","","1786","Malta Field Office"," 501 S. 2nd Street East"," "
"USA","MT","Pompeys Pillar","2018-01-23","59064","43653","","3116","Pompeys Pillar National Monument","3039 US Highway 312",""
"USA","MT","Glasgow","2017-06-19","59230","43654","","1787","RT 1-4775","",""
"USA","MT","Fort Benton","2018-07-02","59442","43656","","3117","Missouri Breaks Interpretive Center","701 7th Street","P.O. Box 1389"
"USA","ND","Dickinson","","58601","43657","","1756","North Dakota Field Office","99 23rd Avenue West, Suite A",""
"USA","NM"," Albuquerque","2017-05-11","87109","43661","","13363","100 Sun Ave., Suite 330","",""
"USA","NM","Socorro","","87801","43663","","1838","Socorro Field Office","901 S. Highway 85"," "
"USA","NM","Farmington","","87401","43665","","1807","Farmington Field Office","1235 La Plata Highway","Suite A"
"USA","NM","Roswell","2017-06-21","88201","43666","","10061","Roswell Field Office","2909 W. Second Street ",""
"USA","NM","Farmington","","87401","43667","","1845","Farmington Field Office","1235 La Plata Highway","Suite A"
"USA","NM","Albuquerque","","87107","43668","","1835","Albuquerque Field Office","435 Montano Rd, NE",""
"USA","NM","Albuquerque","","87107","43669","","1808","Rio Puerco Field Office","435 Montano, NE",""
"USA","NM","Roswell","2017-06-22","88201","43671","","10062","Roswell Field Office","2909 W. Second Street ",""
"USA","NM","Albuquerque","2017-06-22","87109","43673","","13446"," Rio Puerco Field Office","100 Sun Avenue, NE","Pan American Building, Suite 330"
"USA","NM","Albuquerque","","87107","43675","","10046","Rio Puerco Field Office","435 Montano NE",""
"USA","NM"," Roswell",""," 88201","43676","","2125"," Roswell Field Office"," 2909 W. Second Street"," "
"USA","NM","Albuquerque","2017-08-07","87109","43677","","10047","Rio Puerco Field Office","100 Sun Avenue, NE","Pan American Building, Suite 330"
"USA","NM","Carrizozo","","88301","43678","","1803","Valley of Fires Recreation Area","P.O. Box 871",""
"USA","NV"," Winnemucca","2017-06-17","89445","43679","","13352"," Black Rock Field Office","5100 East Winnemucca Blvd.",""
"USA","NV"," Winnemucca","2017-06-21","89445","43681","","13386"," Bureau of Land Management","Black Rock Field Office","5100 East Winnemucca Blvd."
"USA","NV","Ely","","89301","43682","","1041","Ely District Office"," 702 North Industrial Way, HC 33 Box 33500 "," "
"USA","WA","Port Angeles","","98362-2925","47603","","2995","Olympic Coast National Marine Sanctuary","115 East Railroad Avenue, Suite 301",""
"USA","WI","University of Wisconsin-Superior Superior","","54880","49977","","1805","Lake Superior National Estuarine Research Reserve","P. O. Box 2000","14 Marina Dr."
"USA","CA","Monterey","","93940","54110","","3074","Monterey Bay National Marine Sanctuary","99 Pacific Street","Bldg 455A"
"USA","TX","Galveston","","77551","54731","","2999","Administrative Office (This is not a visitor's center)","Flower Garden Banks National Marine Sanctuary","4700 Avenue U, Building 216"
"USA","CA","","","","74382","","626","","",""
"USA","WA","","2013-11-26","","82931","","1116","","",""
"USA","WA","","2013-11-26","","82973","","1011","","",""
"USA","ID","","2013-11-26","","82974","","1011","","",""
"USA","MT","","2013-11-26","","82975","","1011","","",""
"USA","CA","","2018-04-23","","186438","","1823","","",""
